1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"[('HKFC B', 'SSSC A'), 'HKFC']","[('Pak Assn A', 'HKFC B'), 'HKFC']","[('HKFC A', 'Shaheen A'), 'HKFC']","[('Pak Assn A', 'HKFC A'), 'HKFC']","[('Pak Assn A', 'Khalsa A'), 'KP']","[('Valley A', 'Shaheen A'), 'KP']","[('HKFC A', 'KCC A'), 'HKFC']","[('SSSC A', 'Khalsa A'), 'KP']","[('KCC A', 'Shaheen A'), 'KP']","[('SSSC A', 'HKFC A'), 'HKFC']","[('SSSC A', 'Pak Assn A'), 'KP']","[('KNS A', 'Shaheen A'), 'KP']","[('Pak Assn A', 'Khalsa A'), 'KP']","[('KCC A', 'KNS A'), 'KP']","[('Pak Assn A', 'SSSC A'), 'KP']","[('SSSC A', 'Khalsa A'), 'KP']",,,,,,
"[('KCC A', 'Shaheen A'), 'KP']","[('SSSC A', 'HKFC A'), 'KP']","[('Valley A', 'KNS A'), 'KP']","[('KCC A', 'Valley A'), 'KP']","[('SSSC A', 'HKFC B'), 'HKFC']","[('HKFC B', 'Pak Assn A'), 'HKFC']","[('Pak Assn A', 'SSSC A'), 'KP']","[('HKFC B', 'HKFC A'), 'HKFC']","[('Khalsa A', 'Pak Assn A'), 'KP']","[('KNS A', 'KCC A'), 'KP']","[('HKFC A', 'Shaheen A'), 'HKFC']","[('Khalsa A', 'SSSC A'), 'KP']","[('SSSC A', 'HKFC B'), 'HKFC']","[('Valley A', 'Shaheen A'), 'KP']","[('Khalsa A', 'HKFC B'), 'HKFC']","[('Valley A', 'KCC A'), 'KP']",,,,,,
"[('Khalsa A', 'Pak Assn A'), 'KP']","[('KNS A', 'KCC A'), 'KP']","[('SSSC A', 'Pak Assn A'), 'KP']","[('KNS A', 'Shaheen A'), 'KP']","[('HKFC A', 'KNS A'), 'KP']","[('KCC A', 'KNS A'), 'KP']","[('Khalsa A', 'HKFC B'), 'KP']","[('Valley A', 'KCC A'), 'KP']","[('HKFC A', 'Valley A'), 'HKFC']","[('Pak Assn A', 'HKFC B'), 'KP']","[('HKFC B', 'Khalsa A'), 'KP']","[('KCC A', 'Valley A'), 'KP']","[('Shaheen A', 'KCC A'), 'KP']","[('HKFC B', 'Pak Assn A'), 'HKFC']","[('KNS A', 'Valley A'), 'KP']","[('HKFC B', 'HKFC A'), 'HKFC']",,,,,,
"[('HKFC A', 'Valley A'), 'KP']","[('Shaheen A', 'Valley A'), 'KP']","[('HKFC B', 'Khalsa A'), 'KP']","[('Khalsa A', 'SSSC A'), 'KP']","[('Shaheen A', 'KCC A'), 'KP']","[('Khalsa A', 'HKFC A'), 'KP']","[('KNS A', 'Valley A'), 'KP']","[('Shaheen A', 'KNS A'), 'KP']","[('HKFC B', 'SSSC A'), 'KP']","[('Shaheen A', 'Valley A'), 'KP']","[('Valley A', 'KNS A'), 'KP']","[('Pak Assn A', 'HKFC A'), 'HKFC']","[('HKFC A', 'KNS A'), 'KP']","[('Khalsa A', 'HKFC A'), 'KP']","[('HKFC A', 'KCC A'), 'KP']","[('Shaheen A', 'KNS A'), 'KP']",,,,,,
"[('HKCC A', 'Khalsa B'), 'KP']","[('KCC B', 'Dutch A'), 'KP']","[('Dutch A', 'HKFC C'), 'HKFC']","[('KCC B', 'NBC A'), 'KP']","[('SSSC B', 'HKCC A'), 'KP']","[('HKFC C', 'KCC B'), 'HKFC']","[('Khalsa B', 'Aquila A'), 'KP']","[('SSSC B', 'Khalsa B'), 'KP']","[('HKFC D', 'SSSC B'), 'HKFC']","[('Khalsa B', 'HKFC D'), 'HKFC']","[('HKCC A', 'Khalsa B'), 'KP']","[('KCC B', 'Dutch A'), 'KP']","[('Antlers A', 'NBC A'), 'KP']","[('HKFC C', 'Valley B'), 'HKFC']","[('Khalsa B', 'HKFC D'), 'HKFC']","[('Dutch A', 'NBC A'), 'KP']","[('HKFC D', 'HKCC A'), 'HKFC']","[('HKCC A', 'Antlers A'), 'KP']","[('KCC B', 'NBC A'), 'KP']","[('Khalsa B', 'HKFC D'), 'HKFC']",,
"[('Aquila A', 'SSSC B'), 'HV']","[('Khalsa B', 'Aquila A'), 'HV']","[('Aquila A', 'HKFC D'), 'HV']","[('HKFC D', 'SSSC B'), 'HKFC']","[('Valley B', 'Dutch A'), 'HV']","[('Dutch A', 'NBC A'), 'HV']","[('KCC B', 'Dutch A'), 'HV']","[('Dutch A', 'HKFC C'), 'HKFC']","[('KCC B', 'NBC A'), 'HV']","[('Aquila A', 'Antlers A'), 'HV']","[('Dutch A', 'NBC A'), 'HV']","[('Khalsa B', 'Aquila A'), 'HV']","[('Aquila A', 'HKFC D'), 'HKFC']","[('Khalsa B', 'Antlers A'), 'HV']","[('NBC A', 'HKFC C'), 'HV']","[('Aquila A', 'SSSC B'), 'HV']","[('Khalsa B', 'Aquila A'), 'HV']","[('Aquila A', 'HKFC D'), 'HKFC']","[('HKFC C', 'Valley B'), 'HKFC']","[('SSSC B', 'HKCC A'), 'HV']",,
"[('Dutch A', 'NBC A'), 'HV']","[('SSSC B', 'Antlers A'), 'HV']","[('SSSC B', 'Khalsa B'), 'HV']","[('HKCC A', 'Aquila A'), 'HV']","[('Antlers A', 'KCC B'), 'HV']","[('HKFC D', 'Antlers A'), 'HV']","[('NBC A', 'Valley B'), 'HV']","[('Aquila A', 'HKFC D'), 'HV']","[('HKCC A', 'Aquila A'), 'HV']","[('Valley B', 'Dutch A'), 'HV']","[('Aquila A', 'SSSC B'), 'HV']","[('HKFC D', 'HKCC A'), 'HKFC']","[('Dutch A', 'HKFC C'), 'HV']","[('KCC B', 'NBC A'), 'HV']","[('SSSC B', 'HKCC A'), 'HV']","[('HKCC A', 'Khalsa B'), 'HV']","[('KCC B', 'Dutch A'), 'HV']","[('Dutch A', 'HKFC C'), 'HV']","[('HKCC A', 'Aquila A'), 'HV']","[('NBC A', 'HKFC C'), 'HV']",,
"[('HKFC C', 'KCC B'), 'HKFC']","[('NBC A', 'Valley B'), 'HV']","[('Valley B', 'KCC B'), 'HV']","[('Khalsa B', 'Antlers A'), 'HV']","[('NBC A', 'HKFC C'), 'HKFC']","[('HKCC A', 'Khalsa B'), 'HV']","[('HKFC D', 'HKCC A'), 'HKFC']","[('HKCC A', 'Antlers A'), 'HV']","[('HKFC C', 'Valley B'), 'HV']","[('SSSC B', 'HKCC A'), 'HV']","[('HKFC C', 'KCC B'), 'HKFC']","[('NBC A', 'Valley B'), 'HV']","[('SSSC B', 'Khalsa B'), 'HV']","[('HKCC A', 'Aquila A'), 'HV']","[('Valley B', 'Dutch A'), 'HV']","[('HKFC D', 'Antlers A'), 'HKFC']","[('NBC A', 'Valley B'), 'HV']","[('SSSC B', 'Khalsa B'), 'HV']","[('Antlers A', 'Dutch A'), 'HV']","[('Aquila A', 'Antlers A'), 'HV']",,
"[('Antlers A', 'Valley B'), 'HV']","[('HKFC D', 'HKCC A'), 'HKFC']","[('Antlers A', 'NBC A'), 'HV']","[('HKFC C', 'Valley B'), 'HV']","[('Khalsa B', 'HKFC D'), 'HV']","[('Aquila A', 'SSSC B'), 'HV']","[('Antlers A', 'HKFC C'), 'HV']","[('Valley B', 'KCC B'), 'HV']","[('Antlers A', 'Dutch A'), 'HV']","[('NBC A', 'HKFC C'), 'HV']","[('Antlers A', 'Valley B'), 'HV']","[('SSSC B', 'Antlers A'), 'HV']","[('Valley B', 'KCC B'), 'HV']","[('HKFC D', 'SSSC B'), 'HV']","[('Antlers A', 'KCC B'), 'HV']","[('HKFC C', 'KCC B'), 'HV']","[('Antlers A', 'HKFC C'), 'HV']","[('Valley B', 'KCC B'), 'HV']","[('HKFC D', 'SSSC B'), 'HV']","[('Valley B', 'Dutch A'), 'HV']",,
"[('HKCC B', 'RHOBA A'), 'KP']","[('Recreio A', 'Elite A'), 'KP']","[('Sirius A', 'RHOBA A'), 'KP']","[('KNS B', 'Valley C'), 'KP']","[('Valley C', 'HKCC B'), 'KP']","[('Elite A', 'Sirius A'), 'KP']","[('RHOBA A', 'Elite A'), 'KP']","[('Elite A', 'Pak Assn B'), 'KP']","[('RHOBA A', 'Scorpion A'), 'KP']","[('Elite A', 'DBS A'), 'KP']","[('KNS B', 'RHOBA A'), 'KP']","[('Sirius A', 'Dragons A'), 'KP']","[('Elite A', 'Recreio A'), 'KP']","[('KNS B', 'Elite A'), 'KP']","[('DBS A', 'RHOBA A'), 'KP']","[('Recreio A', 'DBS A'), 'KP']","[('Recreio A', 'KNS B'), 'KP']","[('Elite A', 'RHOBA A'), 'KP']","[('RHOBA A', 'Valley C'), 'KP']","[('Valley C', 'Pak Assn B'), 'KP']","[('Recreio A', 'RHOBA A'), 'KP']","[('Scorpion A', 'HKFC E'), 'HKFC']"
