1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"('HKFC B', 'SSSC A')","('SSSC A', 'HKFC A')","('HKFC B', 'Khalsa A')","('Khalsa A', 'SSSC A')","('HKFC A', 'KNS A')","('KCC A', 'KNS A')","('KNS A', 'Valley A')","('HKFC B', 'HKFC A')","('Khalsa A', 'Pak Assn A')","('Pak Assn A', 'HKFC B')","('SSSC A', 'Pak Assn A')","('Pak Assn A', 'HKFC A')","('HKFC A', 'KNS A')","('KCC A', 'KNS A')","('HKFC A', 'KCC A')","('Shaheen A', 'KNS A')",,,,,,
"('Khalsa A', 'Pak Assn A')","('KNS A', 'KCC A')","('Valley A', 'KNS A')","('KCC A', 'Valley A')","('Shaheen A', 'KCC A')","('HKFC B', 'Pak Assn A')","('HKFC A', 'KCC A')","('Shaheen A', 'KNS A')","('KCC A', 'Shaheen A')","('SSSC A', 'HKFC A')","('Valley A', 'KNS A')","('KNS A', 'Shaheen A')","('Pak Assn A', 'Khalsa A')","('Khalsa A', 'HKFC A')","('Khalsa A', 'HKFC B')","('SSSC A', 'Khalsa A')",,,,,,
"('KCC A', 'Shaheen A')","('Pak Assn A', 'HKFC B')","('HKFC A', 'Shaheen A')","('Pak Assn A', 'HKFC A')","('SSSC A', 'HKFC B')","('Valley A', 'Shaheen A')","('Pak Assn A', 'SSSC A')","('Valley A', 'KCC A')","('HKFC B', 'SSSC A')","('Shaheen A', 'Valley A')","('HKFC B', 'Khalsa A')","('Khalsa A', 'SSSC A')","('Shaheen A', 'KCC A')","('Valley A', 'Shaheen A')","('KNS A', 'Valley A')","('Valley A', 'KCC A')",,,,,,
"('HKFC A', 'Valley A')","('Shaheen A', 'Valley A')","('SSSC A', 'Pak Assn A')","('KNS A', 'Shaheen A')","('Pak Assn A', 'Khalsa A')","('Khalsa A', 'HKFC A')","('Khalsa A', 'HKFC B')","('SSSC A', 'Khalsa A')","('HKFC A', 'Valley A')","('KNS A', 'KCC A')","('HKFC A', 'Shaheen A')","('KCC A', 'Valley A')","('SSSC A', 'HKFC B')","('HKFC B', 'Pak Assn A')","('Pak Assn A', 'SSSC A')","('HKFC B', 'HKFC A')",,,,,,
"('HKFC C', 'KCC B')","('NBC A', 'Valley B')","('Antlers A', 'NBC A')","('HKCC A', 'Aquila A')","('Antlers A', 'KCC B')","('HKFC C', 'KCC B')","('Khalsa B', 'Aquila A')","('Dutch A', 'HKFC C')","('KCC B', 'NBC A')","('Khalsa B', 'HKFC D')","('HKCC A', 'Khalsa B')","('KCC B', 'Dutch A')","('Antlers A', 'NBC A')","('HKFC C', 'Valley B')","('SSSC B', 'HKCC A')","('Aquila A', 'SSSC B')","('Antlers A', 'HKFC C')","('HKCC A', 'Antlers A')","('KCC B', 'NBC A')","('Valley B', 'Dutch A')",,
"('Dutch A', 'NBC A')","('HKFC D', 'HKCC A')","('Aquila A', 'HKFC D')","('HKFC C', 'Valley B')","('SSSC B', 'HKCC A')","('Dutch A', 'NBC A')","('KCC B', 'Dutch A')","('Valley B', 'KCC B')","('HKFC D', 'SSSC B')","('SSSC B', 'HKCC A')","('Antlers A', 'Valley B')","('SSSC B', 'Antlers A')","('Valley B', 'KCC B')","('HKFC D', 'SSSC B')","('Valley B', 'Dutch A')","('Dutch A', 'NBC A')","('Khalsa B', 'Aquila A')","('Valley B', 'KCC B')","('HKFC D', 'SSSC B')","('NBC A', 'HKFC C')",,
"('Aquila A', 'SSSC B')","('SSSC B', 'Antlers A')","('Valley B', 'KCC B')","('KCC B', 'NBC A')","('Khalsa B', 'HKFC D')","('Aquila A', 'SSSC B')","('NBC A', 'Valley B')","('SSSC B', 'Khalsa B')","('Antlers A', 'Dutch A')","('Aquila A', 'Antlers A')","('HKFC C', 'KCC B')","('Khalsa B', 'Aquila A')","('SSSC B', 'Khalsa B')","('HKCC A', 'Aquila A')","('Antlers A', 'KCC B')","('HKFC C', 'KCC B')","('HKFC D', 'HKCC A')","('Dutch A', 'HKFC C')","('HKFC C', 'Valley B')","('Aquila A', 'Antlers A')",,
"('Antlers A', 'Valley B')","('Khalsa B', 'Aquila A')","('Dutch A', 'HKFC C')","('HKFC D', 'SSSC B')","('Valley B', 'Dutch A')","('HKFC D', 'Antlers A')","('HKFC D', 'HKCC A')","('Aquila A', 'HKFC D')","('HKFC C', 'Valley B')","('Valley B', 'Dutch A')","('Dutch A', 'NBC A')","('NBC A', 'Valley B')","('Aquila A', 'HKFC D')","('KCC B', 'NBC A')","('NBC A', 'HKFC C')","('HKFC D', 'Antlers A')","('KCC B', 'Dutch A')","('Aquila A', 'HKFC D')","('HKCC A', 'Aquila A')","('Khalsa B', 'HKFC D')",,
"('HKCC A', 'Khalsa B')","('KCC B', 'Dutch A')","('SSSC B', 'Khalsa B')","('Khalsa B', 'Antlers A')","('NBC A', 'HKFC C')","('HKCC A', 'Khalsa B')","('Antlers A', 'HKFC C')","('HKCC A', 'Antlers A')","('HKCC A', 'Aquila A')","('NBC A', 'HKFC C')","('Aquila A', 'SSSC B')","('HKFC D', 'HKCC A')","('Dutch A', 'HKFC C')","('Khalsa B', 'Antlers A')","('Khalsa B', 'HKFC D')","('HKCC A', 'Khalsa B')","('NBC A', 'Valley B')","('SSSC B', 'Khalsa B')","('Antlers A', 'Dutch A')","('SSSC B', 'HKCC A')",,
"('HKFC E', 'Recreio A')","('RHOBA A', 'Dragons A')","('Sirius A', 'RHOBA A')","('Recreio A', 'Scorpion A')","('Scorpion A', 'KNS B')","('Dragons A', 'Valley C')","('DBS A', 'KNS B')","('Elite A', 'Pak Assn B')","('Pak Assn B', 'Valley C')","('RHOBA A', 'Recreio A')","('Elite A', 'Valley C')","('Pak Assn B', 'KNS B')","('HKCC B', 'Pak Assn B')","('RHOBA A', 'Sirius A')","('Elite A', 'HKCC B')","('HKFC E', 'Sirius A')","('RHOBA A', 'HKFC E')","('KNS B', 'DBS A')","('Recreio A', 'Dragons A')","('Sirius A', 'Recreio A')","('Pak Assn B', 'Scorpion A')","('Scorpion A', 'HKFC E')"
